ID_ASV,HAW22A_100_S36,HAW22A_500_S42,HAW22A_BS_S43,HAW22B_100_M2,HAW22B_100_M7,HAW22B_500_M1,HAW22B_BS_M1,HAW22B_BS_M6,HAW22B_BS_S44,HAW22C_100_S37,HAW22C_500_S45,HAW22C_500_S7,HAW24A_100_M2,HAW24A_500_M1,HAW24A_BS_M1,HAW24B_100_M2,HAW24B_100_M7,HAW24B_500_M1,HAW24B_500_M7,HAW24B_BS_M1,HAW24B_BS_M6,HAW24C_100_M2,HAW24C_100_M7,HAW24C_500_M1,HAW24C_BS_M1,HAW24C_BS_M7,HAW41A_100_S16,HAW41A_500_S9,HAW41A_BS_S1,HAW41B_100_S17,HAW41B_BS_S2,HAW43A_100_S18,HAW43A_500_S10,HAW43A_BS_S3,HAW43B_100_S19,HAW43B_500_S11,HAW43B_BS_S4,HAW43C_100_S20,HAW43C_500_S12,HAW43C_BS_S5,HAW46A_100_S21,HAW46A_500_S63,HAW46A_BS_S6,HAW46B_100_S22,HAW46B_500_S13,HAW46B_BS_S7,HAW46C_100_S23,HAW46C_500_S14,HAW46C_BS_S8,HAW48A_100_S37,HAW48A_500_S15,HAW48A_BS_S32,HAW48B_100_S38,HAW48B_500_S35,HAW48B_BS_S33,HAW48C_100_S39,HAW48C_500_S36,HAW48C_BS_S34,KAU02A_100_M2,KAU02A_500_M1,KAU02A_BS_M1,KAU02A_BS_M7,KAU02B_100_S31,KAU02B_500_S30,KAU02B_BS_S46,KAU06A_100_M2,KAU06A_500_M1,KAU06A_BS_M1,KAU06A_BS_M7,KAU06B_100_S47,KAU06B_500_S32,KAU06B_BS_S30,KAU08A_100_S42,KAU08A_500_S2,KAU08A_500_S45,KAU08A_BS_S44,KAU08B_100_M2,KAU08B_100_M7,KAU08B_500_M1,KAU08B_BS_M1,MAI01A_100_S34,MAI01A_500_S33,MAI01A_BS_S55,MAI01B_100_M2,MAI01B_500_M1,MAI01B_BS_M1,MAI01B_BS_M7,MAI01C_100_S35,MAI01C_500_S47,MAI01C_BS_S46,OAH12A_100_S27,OAH12A_500_S26,OAH12A_BS_S43,OAH12B_100_M2,OAH12B_500_M1,OAH12B_BS_M1,OAH12B_BS_M7,OAH12C_100_S29,OAH12C_500_S28,OAH12C_BS_S50,OAH21A_100_S24,OAH21A_500_S48,OAH21A_BS_S40,OAH21B_100_S25,OAH21B_500_S49,OAH21B_BS_S41,OAH21C_100_S26,OAH21C_100_S29,OAH21C_500_S50,OAH21C_BS_S42,OAH22A_100_S27,OAH22A_500_S51,OAH22A_BS_S43,OAH22B_100_S28,OAH22B_BS_S44,OAH22C_BS_S45,OAH23A_100_S30,OAH23A_BS_S46,OAH23B_100_S31,OAH23B_BS_S47,OAH23C_100_S55,OAH23C_500_S53,OAH23C_BS_S54
ASV1,0,0,0,0,0,0,0,0,0,0,0,0,3149,286,0,0,29,0,0,0,0,2092,159,63,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,215,0,0,0,0,0,0,0,0,0,36,0,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2,15,0,0,432,320,18,929,1908,0,0,0,27,0,0,0,0,31,0,0,0,0,49,252,0,0,0,0,0,0,19,0,0,0,82,0,0,27,0,0,31,138,148,1835,91,0,0,99,173,0,31,24,443,4444,96,989,42,370,121,1518,4529,2067,6380,113,341,120,649,79,0,0,34,35,528,224,0,47,266,1768,3462,0,2779,0,0,1030,48,63,984,3990,361,60,1031,346,0,42356,122,0,0,0,55,28,194,772,246,7459,0,248,47,340,0,0,1140,15,0,239,0,0,0,0,34,0,525,19,0,483
ASV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,1257,0,68,22,0,0,0,488,19,0,333,0,0,83,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,68,78,0,0,0,36,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,32,0,0,0,0,0,422,290,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
