"ID_ASV","kingdom","phylum","class","order","family","genus","species"
"ASV1","","","","","","",""
"ASV2","","","","","","",""
"ASV3","","","","","","",""
"ASV4","Metazoa","","","","","",""
"ASV5","","","","","","",""
"ASV6","","","","","","",""
"ASV7","Metazoa","Arthropoda","","","","",""
"ASV8","Metazoa","Arthropoda","","","","",""
"ASV9","","","","","","",""
"ASV10","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"ASV11","Metazoa","","","","","",""
"ASV12","","","","","","",""
"ASV13","Metazoa","Mollusca","Bivalvia","Pectinoida","","",""
"ASV14","Metazoa","Arthropoda","","","","",""
"ASV15","","","","","","",""
"ASV16","Metazoa","Porifera","Demospongiae","","","",""
"ASV17","Metazoa","","","","","",""
"ASV18","Metazoa","","","","","",""
"ASV19","","","Florideophyceae","","","",""
"ASV20","Metazoa","","","","","",""
"ASV21","","","Florideophyceae","Gigartinales","","",""
"ASV22","Metazoa","","","","","",""
"ASV23","","","","","","",""
"ASV24","Metazoa","","","","","",""
"ASV25","Metazoa","Arthropoda","Malacostraca","Decapoda","Hippolytidae","",""
"ASV26","","","Florideophyceae","Ceramiales","Rhodomelaceae","",""
"ASV27","","","","","","",""
"ASV28","","","","","","",""
"ASV29","Metazoa","","","","","",""
"ASV30","Metazoa","","","","","",""
"ASV31","","","Florideophyceae","","","",""
"ASV32","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV33","","","","","","",""
"ASV34","Metazoa","Arthropoda","Malacostraca","","","",""
"ASV35","","","","","","",""
"ASV36","","","","","","",""
"ASV37","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV38","Metazoa","Arthropoda","Malacostraca","Decapoda","","",""
"ASV39","","","","","","",""
"ASV40","","","Florideophyceae","","","",""
"ASV41","","","","","","",""
"ASV42","","Bacillariophyta","","","","",""
"ASV43","","","","","","",""
"ASV44","","","","","","",""
"ASV45","","","","","","",""
"ASV46","","","","","","",""
"ASV47","","","","","","",""
"ASV48","","","","","","",""
"ASV49","Metazoa","Cnidaria","Hydrozoa","","","",""
"ASV50","","","Florideophyceae","","","",""
"ASV51","","","","","","",""
"ASV52","","","","","","",""
"ASV53","","","","","","",""
"ASV54","Metazoa","Porifera","Demospongiae","","","",""
"ASV55","","","","","","",""
"ASV56","Metazoa","Cnidaria","Hydrozoa","","","",""
"ASV57","","","","","","",""
"ASV58","","","","","","",""
"ASV59","","","Florideophyceae","","","",""
"ASV60","Metazoa","","","","","",""
"ASV61","","","","","","",""
"ASV62","Metazoa","Platyhelminthes","","","","",""
"ASV63","Metazoa","Porifera","Demospongiae","Haplosclerida","","",""
"ASV64","","","","","","",""
"ASV65","","","","","","",""
"ASV66","Metazoa","","","","","",""
"ASV67","","","Florideophyceae","","","",""
"ASV68","","","","","","",""
"ASV69","","","Florideophyceae","","","",""
"ASV70","","","","","","",""
"ASV71","","","Florideophyceae","","","",""
"ASV72","Metazoa","Porifera","Demospongiae","Biemnida","Biemnidae","",""
"ASV73","Metazoa","","","","","",""
"ASV74","","","","","","",""
"ASV75","","","","","","",""
"ASV76","","","","","","",""
"ASV77","","","","","","",""
"ASV78","Metazoa","Annelida","Polychaeta","","","",""
"ASV79","","","Florideophyceae","","","",""
"ASV80","","","","","","",""
"ASV81","Metazoa","","","","","",""
"ASV82","","","","","","",""
"ASV83","","","","","","",""
"ASV84","","","Florideophyceae","","","",""
"ASV85","","","","","","",""
"ASV86","","","Florideophyceae","","","",""
"ASV87","Metazoa","Chordata","","","","",""
"ASV88","Metazoa","","","","","",""
"ASV89","Metazoa","","","","","",""
"ASV90","Metazoa","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","",""
"ASV91","Metazoa","","","","","",""
"ASV92","Metazoa","","","","","",""
"ASV93","","","","","","",""
"ASV94","Metazoa","Porifera","Demospongiae","Suberitida","","",""
"ASV95","","","Florideophyceae","","","",""
"ASV96","Metazoa","Cnidaria","","","","",""
"ASV97","","","","","","",""
"ASV98","","","Florideophyceae","","","",""
"ASV99","Metazoa","Arthropoda","","","","",""
"ASV100","","","","","","",""
"ASV101","","","Florideophyceae","","","",""
"ASV102","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus",""
"ASV103","Metazoa","Arthropoda","","","","",""
"ASV104","","","","","","",""
"ASV105","Metazoa","","","","","",""
"ASV106","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV107","","","","","","",""
"ASV108","","","","","","",""
"ASV109","","","","","","",""
"ASV110","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV111","Metazoa","Cnidaria","Hydrozoa","Anthoathecata","","",""
"ASV112","Metazoa","Cnidaria","Hydrozoa","Leptothecata","","",""
"ASV113","Metazoa","","","","","",""
"ASV114","Metazoa","Mollusca","Gastropoda","Nudibranchia","","",""
"ASV115","Metazoa","Annelida","Polychaeta","Phyllodocida","","",""
"ASV116","","","Florideophyceae","","","",""
"ASV117","Metazoa","","","","","",""
"ASV118","","","Florideophyceae","","","",""
"ASV119","Metazoa","","","","","",""
"ASV120","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV121","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV122","Metazoa","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Pocillopora",""
"ASV123","","","","","","",""
"ASV124","","","Florideophyceae","","","",""
"ASV125","","","Florideophyceae","","","",""
"ASV126","","","Florideophyceae","","","",""
"ASV127","","","","","","",""
"ASV128","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"ASV129","","","","","","",""
"ASV130","","","","","","",""
"ASV131","","","","","","",""
"ASV132","","","","","","",""
"ASV133","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV134","","","","","","",""
"ASV135","Metazoa","Mollusca","Gastropoda","","","",""
"ASV136","Metazoa","","","","","",""
"ASV137","","","","","","",""
"ASV138","Metazoa","","","","","",""
"ASV139","","","","","","",""
"ASV140","","","Florideophyceae","Gigartinales","","",""
"ASV141","","","","","","",""
"ASV142","","","","","","",""
"ASV143","","","","","","",""
"ASV144","Metazoa","","","","","",""
"ASV145","","","","","","",""
"ASV146","Metazoa","","","","","",""
"ASV147","","","Florideophyceae","","","",""
"ASV148","Metazoa","Mollusca","Gastropoda","","","",""
"ASV149","Metazoa","","","","","",""
"ASV150","","","","","","",""
"ASV151","Metazoa","Cnidaria","Hydrozoa","","","",""
"ASV152","Metazoa","","","","","",""
"ASV153","Metazoa","","","","","",""
"ASV154","","","","","","",""
"ASV155","Metazoa","","","","","",""
"ASV156","","","","","","",""
"ASV157","","","Florideophyceae","Ceramiales","","",""
"ASV158","","","Florideophyceae","","","",""
"ASV159","","","","","","",""
"ASV160","","","","","","",""
"ASV161","","","","","","",""
"ASV162","Metazoa","Mollusca","Gastropoda","Nudibranchia","","",""
"ASV163","Metazoa","","","","","",""
"ASV164","Metazoa","","","","","",""
"ASV165","Metazoa","Mollusca","Bivalvia","Veneroida","","",""
"ASV166","","","","","","",""
"ASV167","","","","","","",""
"ASV168","","","","","","",""
"ASV169","","","","","","",""
"ASV170","Metazoa","","","","","",""
"ASV171","Metazoa","","","","","",""
"ASV172","Metazoa","Cnidaria","Hydrozoa","","","",""
"ASV173","Metazoa","Arthropoda","","","","",""
"ASV174","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV175","","","","","","",""
"ASV176","","","Florideophyceae","","","",""
"ASV177","","","","","","",""
"ASV178","","","","","","",""
"ASV179","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV180","","","","","","",""
"ASV181","","","","","","",""
"ASV182","Metazoa","","","","","",""
"ASV183","","","","","","",""
"ASV184","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"ASV185","","","","","","",""
"ASV186","Metazoa","","","","","",""
"ASV187","","","","","","",""
"ASV188","Metazoa","Chordata","Actinopteri","","","",""
"ASV189","Metazoa","Annelida","","","","",""
"ASV190","Metazoa","","","","","",""
"ASV191","","","","","","",""
"ASV192","Metazoa","","","","","",""
"ASV193","","","","","","",""
"ASV194","","","","","","",""
"ASV195","","","","","","",""
"ASV196","Metazoa","Arthropoda","Malacostraca","Decapoda","","",""
"ASV197","","","","","","",""
"ASV198","Metazoa","Arthropoda","Malacostraca","Decapoda","","",""
"ASV199","Metazoa","Arthropoda","","","","",""
"ASV200","","","","","","",""
"ASV201","Metazoa","Arthropoda","Malacostraca","Decapoda","","",""
"ASV202","","","","","","",""
"ASV203","","","","","","",""
"ASV204","","","Florideophyceae","","","",""
"ASV205","","","","","","",""
"ASV206","Metazoa","","","","","",""
"ASV207","Metazoa","Cnidaria","Hydrozoa","","","",""
"ASV208","Metazoa","","","","","",""
"ASV209","","","","","","",""
"ASV210","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","","",""
"ASV211","Metazoa","Mollusca","Gastropoda","","","",""
"ASV212","","","","","","",""
"ASV213","","","","","","",""
"ASV214","","","","","","",""
"ASV215","","","Florideophyceae","","","",""
"ASV216","","","","","","",""
"ASV217","","","","","","",""
"ASV218","Metazoa","Bryozoa","Gymnolaemata","","","",""
"ASV219","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"ASV220","Metazoa","Arthropoda","Malacostraca","Decapoda","Palaemonidae","",""
"ASV221","Metazoa","","","","","",""
"ASV222","","","Florideophyceae","Gigartinales","Hypneaceae","Hypnea",""
"ASV223","","","","","","",""
"ASV224","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"ASV225","","","","","","",""
"ASV226","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV227","","","","","","",""
"ASV228","Metazoa","Chordata","","","","",""
"ASV229","Metazoa","Arthropoda","","","","",""
"ASV230","","","","","","",""
"ASV231","Metazoa","Mollusca","Gastropoda","","Fissurellidae","Diodora",""
"ASV232","","","","","","",""
"ASV233","","","","","","",""
"ASV234","","","Florideophyceae","","","",""
"ASV235","Metazoa","","","","","",""
"ASV236","","","","","","",""
"ASV237","","","","","","",""
"ASV238","Metazoa","Cnidaria","Hydrozoa","","","",""
"ASV239","Metazoa","","","","","",""
"ASV240","Metazoa","","","","","",""
"ASV241","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV242","Metazoa","","","","","",""
"ASV243","","","","","","",""
"ASV244","","","","","","",""
"ASV245","Metazoa","","","","","",""
"ASV246","Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Plakinidae","",""
"ASV247","","","","","","",""
"ASV248","","","","","","",""
"ASV249","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Amphiuridae","Amphipholis",""
"ASV250","","","","","","",""
"ASV251","","","","","","",""
"ASV252","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Ophiotrichidae","",""
"ASV253","","","Florideophyceae","","","",""
"ASV254","Metazoa","Arthropoda","Malacostraca","Decapoda","Diogenidae","",""
"ASV255","","","","","","",""
"ASV256","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV257","Metazoa","Porifera","Demospongiae","","","",""
"ASV258","Metazoa","","","","","",""
"ASV259","Metazoa","Mollusca","Gastropoda","","","",""
"ASV260","Metazoa","Platyhelminthes","","","","",""
"ASV261","","","","","","",""
"ASV262","Metazoa","Cnidaria","","","","",""
"ASV263","","","","","","",""
"ASV264","","","","","","",""
"ASV265","","","","","","",""
"ASV266","","","Florideophyceae","","","",""
"ASV267","","","","","","",""
"ASV268","Metazoa","Arthropoda","Malacostraca","Decapoda","","",""
"ASV269","","","Florideophyceae","Ceramiales","Rhodomelaceae","",""
"ASV270","Metazoa","","","","","",""
"ASV271","","","","","","",""
"ASV272","","","","","","",""
"ASV273","Metazoa","Cnidaria","Hydrozoa","","","",""
"ASV274","","","","","","",""
"ASV275","","","","","","",""
"ASV276","Metazoa","Arthropoda","Malacostraca","Decapoda","","",""
"ASV277","Metazoa","Porifera","Demospongiae","Suberitida","","",""
"ASV278","Metazoa","Arthropoda","Malacostraca","Decapoda","","",""
"ASV279","","","","","","",""
"ASV280","Metazoa","Annelida","Polychaeta","Eunicida","Eunicidae","",""
"ASV281","Metazoa","","","","","",""
"ASV282","Metazoa","Arthropoda","","","","",""
"ASV283","Metazoa","Mollusca","Gastropoda","","","",""
"ASV284","Metazoa","Annelida","Polychaeta","Phyllodocida","","",""
"ASV285","","","","","","",""
"ASV286","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","","",""
"ASV287","","","","","","",""
"ASV288","Metazoa","Arthropoda","Malacostraca","Decapoda","Portunidae","Lupocyclus","Lupocyclus quinquedentatus"
"ASV289","","","Florideophyceae","","","",""
"ASV290","Metazoa","","","","","",""
"ASV291","Metazoa","Annelida","Polychaeta","Phyllodocida","Nereididae","",""
"ASV292","Metazoa","","","","","",""
"ASV293","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"ASV294","","","","","","",""
"ASV295","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV296","","","","","","",""
"ASV297","Metazoa","Xenacoelomorpha","Acoela","","","",""
"ASV298","","","","","","",""
"ASV299","","","","","","",""
"ASV300","Metazoa","Arthropoda","","","","",""
"ASV301","","","","","","",""
"ASV302","Metazoa","Arthropoda","","","","",""
"ASV303","Metazoa","","","","","",""
"ASV304","","","","","","",""
"ASV305","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV306","Metazoa","","","","","",""
"ASV307","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV308","Metazoa","","","","","",""
"ASV309","Metazoa","","","","","",""
"ASV310","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV311","","","","","","",""
"ASV312","","","","","","",""
"ASV313","","","","","","",""
"ASV314","","","","","","",""
"ASV315","Metazoa","Arthropoda","Hexanauplia","Harpacticoida","","",""
"ASV316","Metazoa","Echinodermata","Holothuroidea","Apodida","","",""
"ASV317","Metazoa","Arthropoda","","","","",""
"ASV318","Metazoa","","","","","",""
"ASV319","","","","","","",""
"ASV320","","","","","","",""
"ASV321","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV322","","","","","","",""
"ASV323","","","","","","",""
"ASV324","","","","","","",""
"ASV325","","","","","","",""
"ASV326","","","Florideophyceae","","","",""
"ASV327","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"ASV328","","","","","","",""
"ASV329","Metazoa","","","","","",""
"ASV330","Metazoa","Arthropoda","","","","",""
"ASV331","Metazoa","Chaetognatha","Sagittoidea","Phragmophora","Spadellidae","Spadella",""
"ASV332","","","","","","",""
"ASV333","","","","","","",""
"ASV334","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV335","","","","","","",""
"ASV336","","","","","","",""
"ASV337","","","","","","",""
"ASV338","","","","","","",""
"ASV339","Metazoa","","","","","",""
"ASV340","Metazoa","","","","","",""
"ASV341","Metazoa","Arthropoda","Hexanauplia","","","",""
"ASV342","","","","","","",""
"ASV343","Metazoa","","","","","",""
"ASV344","","","","","","",""
"ASV345","Metazoa","Arthropoda","","","","",""
"ASV346","","","Florideophyceae","","","",""
"ASV347","","","","","","",""
"ASV348","Metazoa","","","","","",""
"ASV349","","","Florideophyceae","","","",""
"ASV350","","","","","","",""
"ASV351","Metazoa","","","","","",""
"ASV352","","","","","","",""
"ASV353","","","","","","",""
"ASV354","Metazoa","","","","","",""
"ASV355","Metazoa","Annelida","Polychaeta","","","",""
"ASV356","Metazoa","Arthropoda","Malacostraca","Decapoda","Palaemonidae","",""
"ASV357","","","","","","",""
"ASV358","","","","","","",""
"ASV359","Metazoa","","","","","",""
"ASV360","Metazoa","Cnidaria","Anthozoa","Alcyonacea","","",""
"ASV361","Metazoa","","","","","",""
"ASV362","","","","","","",""
"ASV363","","","","","","",""
"ASV364","Metazoa","Arthropoda","Malacostraca","Amphipoda","","",""
"ASV365","","","","","","",""
"ASV366","Metazoa","Annelida","Polychaeta","","Orbiniidae","Naineris",""
"ASV367","","","Florideophyceae","","","",""
"ASV368","Metazoa","","","","","",""
