Sample,NewSite,Site,Unit,UnitFrac,Fraction,Depth,Year,SiteIsleCode,Island,SubRegion,Region,LargeRegion,lat,lon,SeqRunCheck,Lab
HAW22A_100_S36,HAW22,HAW22,HAW22A,HAW22A_100,100,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,S36,Molly
HAW22A_500_S42,HAW22,HAW22,HAW22A,HAW22A_500,500,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,S3,Molly
HAW22A_BS_S43,HAW22,HAW22,HAW22A,HAW22A_BS,BS,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,S32,Molly
HAW22B_100_M7,HAW22,HAW22,HAW22B,HAW22B_100,100,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,M7,Emma
HAW22B_100_M2,HAW22,HAW22,HAW22B,HAW22B_100,100,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,M2,Emma
HAW22B_500_M1,HAW22,HAW22,HAW22B,HAW22B_500,500,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,M1,Emma
HAW22B_BS_M6,HAW22,HAW22,HAW22B,HAW22B_BS,BS,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,M6,Emma
HAW22B_BS_M1,HAW22,HAW22,HAW22B,HAW22B_BS,BS,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,M1,Emma
HAW22C_100_S37,HAW22,HAW22,HAW22C,HAW22C_100,100,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,S37,Molly
HAW22C_500_S7,HAW22,HAW22,HAW22C,HAW22C_500,500,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,S7,Molly
HAW22C_500_S45,HAW22,HAW22,HAW22C,HAW22C_500,500,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,S32,Molly
HAW22B_BS_S44,HAW22,HAW22,HAW22C,HAW22C_BS,BS,50,2013,HAW,HAW,MHI,MHI,Hawaii,18.9686,-155.73073,S31,Molly
HAW24A_100_M2,HAW24,HAW24,HAW24A,HAW24A_100,100,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M2,Emma
HAW24A_500_M1,HAW24,HAW24,HAW24A,HAW24A_500,500,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M1,Emma
HAW24A_BS_M1,HAW24,HAW24,HAW24A,HAW24A_BS,BS,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M1,Emma
HAW24B_100_M2,HAW24,HAW24,HAW24B,HAW24B_100,100,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M2,Emma
HAW24B_100_M7,HAW24,HAW24,HAW24B,HAW24B_100,100,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M7,Emma
HAW24B_500_M1,HAW24,HAW24,HAW24B,HAW24B_500,500,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M1,Emma
HAW24B_500_M7,HAW24,HAW24,HAW24B,HAW24B_500,500,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M7,Emma
HAW24B_BS_M1,HAW24,HAW24,HAW24B,HAW24B_BS,BS,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M1,Emma
HAW24B_BS_M6,HAW24,HAW24,HAW24B,HAW24B_BS,BS,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M6,Emma
HAW24C_100_M2,HAW24,HAW24,HAW24C,HAW24C_100,100,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M2,Emma
HAW24C_100_M7,HAW24,HAW24,HAW24C,HAW24C_100,100,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M7,Emma
HAW24C_500_M1,HAW24,HAW24,HAW24C,HAW24C_500,500,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M1,Emma
HAW24C_BS_M7,HAW24,HAW24,HAW24C,HAW24C_BS,BS,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M7,Emma
HAW24C_BS_M1,HAW24,HAW24,HAW24C,HAW24C_BS,BS,48,2013,HAW,HAW,MHI,MHI,Hawaii,19.03822,-155.88255,M1,Emma
HAW41A_100_S16,HAW41,HAW41,HAW41A,HAW41A_100,100,46,2016,HAW,HAW,MHI,MHI,Hawaii,20.26824,-155.86038,S16,Molly
HAW41A_500_S9,HAW41,HAW41,HAW41A,HAW41A_500,500,46,2016,HAW,HAW,MHI,MHI,Hawaii,20.26824,-155.86038,S9,Molly
HAW41A_BS_S1,HAW41,HAW41,HAW41A,HAW41A_BS,BS,46,2016,HAW,HAW,MHI,MHI,Hawaii,20.26824,-155.86038,S1,Molly
HAW41B_100_S17,HAW41,HAW41,HAW41B,HAW41B_100,100,46,2016,HAW,HAW,MHI,MHI,Hawaii,20.26824,-155.86038,S17,Molly
HAW41B_BS_S2,HAW41,HAW41,HAW41B,HAW41B_BS,BS,46,2016,HAW,HAW,MHI,MHI,Hawaii,20.26824,-155.86038,S2,Molly
HAW43A_100_S18,HAW43,HAW43,HAW43A,HAW43A_100,100,48,2016,HAW,HAW,MHI,MHI,Hawaii,19.24436,-155.90028,S18,Molly
HAW43A_500_S10,HAW43,HAW43,HAW43A,HAW43A_500,500,48,2016,HAW,HAW,MHI,MHI,Hawaii,19.24436,-155.90028,S10,Molly
HAW43A_BS_S3,HAW43,HAW43,HAW43A,HAW43A_BS,BS,48,2016,HAW,HAW,MHI,MHI,Hawaii,19.24436,-155.90028,S3,Molly
HAW43B_100_S19,HAW43,HAW43,HAW43B,HAW43B_100,100,48,2016,HAW,HAW,MHI,MHI,Hawaii,19.24436,-155.90028,S19,Molly
HAW43B_500_S11,HAW43,HAW43,HAW43B,HAW43B_500,500,48,2016,HAW,HAW,MHI,MHI,Hawaii,19.24436,-155.90028,S11,Molly
HAW43B_BS_S4,HAW43,HAW43,HAW43B,HAW43B_BS,BS,48,2016,HAW,HAW,MHI,MHI,Hawaii,19.24436,-155.90028,S4,Molly
HAW43C_100_S20,HAW43,HAW43,HAW43C,HAW43C_100,100,48,2016,HAW,HAW,MHI,MHI,Hawaii,19.24436,-155.90028,S20,Molly
HAW43C_500_S12,HAW43,HAW43,HAW43C,HAW43C_500,500,48,2016,HAW,HAW,MHI,MHI,Hawaii,19.24436,-155.90028,S12,Molly
HAW43C_BS_S5,HAW43,HAW43,HAW43C,HAW43C_BS,BS,48,2016,HAW,HAW,MHI,MHI,Hawaii,19.24436,-155.90028,S5,Molly
HAW46A_100_S21,HAW46,HAW46,HAW46A,HAW46A_100,100,41,2016,HAW,HAW,MHI,MHI,Hawaii,19.48638,-154.81766,S21,Molly
HAW46A_500_S63,HAW46,HAW46,HAW46A,HAW46A_500,500,41,2016,HAW,HAW,MHI,MHI,Hawaii,19.48638,-154.81766,S63,Molly
HAW46A_BS_S6,HAW46,HAW46,HAW46A,HAW46A_BS,BS,41,2016,HAW,HAW,MHI,MHI,Hawaii,19.48638,-154.81766,S6,Molly
HAW46B_100_S22,HAW46,HAW46,HAW46B,HAW46B_100,100,41,2016,HAW,HAW,MHI,MHI,Hawaii,19.48638,-154.81766,S22,Molly
HAW46B_500_S13,HAW46,HAW46,HAW46B,HAW46B_500,500,41,2016,HAW,HAW,MHI,MHI,Hawaii,19.48638,-154.81766,S13,Molly
HAW46B_BS_S7,HAW46,HAW46,HAW46B,HAW46B_BS,BS,41,2016,HAW,HAW,MHI,MHI,Hawaii,19.48638,-154.81766,S7,Molly
HAW46C_100_S23,HAW46,HAW46,HAW46C,HAW46C_100,100,41,2016,HAW,HAW,MHI,MHI,Hawaii,19.48638,-154.81766,S23,Molly
HAW46C_500_S14,HAW46,HAW46,HAW46C,HAW46C_500,500,41,2016,HAW,HAW,MHI,MHI,Hawaii,19.48638,-154.81766,S14,Molly
HAW46C_BS_S8,HAW46,HAW46,HAW46C,HAW46C_BS,BS,41,2016,HAW,HAW,MHI,MHI,Hawaii,19.48638,-154.81766,S8,Molly
HAW48A_100_S37,HAW48,HAW48,HAW48A,HAW48A_100,100,43,2016,HAW,HAW,MHI,MHI,Hawaii,19.06071,-155.55237,S37,Molly
HAW48A_500_S15,HAW48,HAW48,HAW48A,HAW48A_500,500,43,2016,HAW,HAW,MHI,MHI,Hawaii,19.06071,-155.55237,S15,Molly
HAW48A_BS_S32,HAW48,HAW48,HAW48A,HAW48A_BS,BS,43,2016,HAW,HAW,MHI,MHI,Hawaii,19.06071,-155.55237,S32,Molly
HAW48B_100_S38,HAW48,HAW48,HAW48B,HAW48B_100,100,43,2016,HAW,HAW,MHI,MHI,Hawaii,19.06071,-155.55237,S38,Molly
HAW48B_500_S35,HAW48,HAW48,HAW48B,HAW48B_500,500,43,2016,HAW,HAW,MHI,MHI,Hawaii,19.06071,-155.55237,S35,Molly
HAW48B_BS_S33,HAW48,HAW48,HAW48B,HAW48B_BS,BS,43,2016,HAW,HAW,MHI,MHI,Hawaii,19.06071,-155.55237,S33,Molly
HAW48C_100_S39,HAW48,HAW48,HAW48C,HAW48C_100,100,43,2016,HAW,HAW,MHI,MHI,Hawaii,19.06071,-155.55237,S39,Molly
HAW48C_500_S36,HAW48,HAW48,HAW48C,HAW48C_500,500,43,2016,HAW,HAW,MHI,MHI,Hawaii,19.06071,-155.55237,S36,Molly
HAW48C_BS_S34,HAW48,HAW48,HAW48C,HAW48C_BS,BS,43,2016,HAW,HAW,MHI,MHI,Hawaii,19.06071,-155.55237,S34,Molly
KAU02A_100_M2,KAU02,KAU02,KAU02A,KAU02A_100,100,45,2013,KAU,KAU,MHI,MHI,Hawaii,22.16405,-159.2988,M2,Emma
